Page_Category,Page_Popularity_Likes,Page_Checkins,Page_Talking_About,CC1_Min,CC1_Max,CC1_Avg,CC1_Median,CC1_Std,CC2_Min,CC2_Max,CC2_Avg,CC2_Median,CC2_Std,CC3_Min,CC3_Max,CC3_Avg,CC3_Median,CC3_Std,CC4_Min,CC4_Max,CC4_Avg,CC4_Median,CC4_Std,CC5_Min,CC5_Max,CC5_Avg,CC5_Median,CC5_Std,CC1,CC2,CC3,CC4,CC5,Base_Time,Post_Length,Post_Share_Count,Post_Promotion_Status,H_Local,Post_Published_Weekday_40,Post_Published_Weekday_41,Post_Published_Weekday_42,Post_Published_Weekday_43,Post_Published_Weekday_44,Post_Published_Weekday_45,Post_Published_Weekday_46,Base_DateTime_Weekday_47,Base_DateTime_Weekday_48,Base_DateTime_Weekday_49,Base_DateTime_Weekday_50,Base_DateTime_Weekday_51,Base_DateTime_Weekday_52,Base_DateTime_Weekday_53,Target_Variable,Category,CC2_per_hr,CC3_per_hr,CC4_per_hr,CC1_logNorm,CC2_logNorm,CC3_logNorm,CC4_logNorm,Page_Popularity_Likes_logNorm,Page_Checkins_logNorm,Page_Talking_About_logNorm,Post_Length_logNorm,Post_Share_Count_logNorm,CC2_per_hr_logNorm,CC3_per_hr_logNorm,CC4_per_hr_logNorm
1,11884152,0,187243,0,379,86.7,62,103.02431751775887,0,121,51.7,58,37.56607512104505,0,297,35,0,88.75133801808286,0,357,84.4,61.5,96.83201949768475,-215,121,16.7,48,89.2300958197401,121,121,0,121,121,10,127,89,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Product/service,12.1,0,12.1,-0.3715500851474445,-0.22784517742987756,-0.2715433324645413,-0.37334019140136776,-0.19402505065555425,-0.22721127751447415,-0.40360922135514066,-0.422825865352491,-0.11826102500503126,0.04483223217332372,-0.26232014383079266,-0.018119694280589325
1,5132075,0,77741,0,43,14.200000000000001,0,18.02664694279,0,43,14.200000000000001,0,18.02664694279,0,0,0,0,0,0,43,14.200000000000001,0,18.02664694279,0,43,14.200000000000001,0,18.02664694279,28,28,0,28,28,1,65,16,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,Product/service,28,0,28,-0.3819971630100223,-0.24708915986131766,-0.2715433324645413,-0.38452664285434307,-0.19402517466668223,-0.22721127751447415,-0.4036171476871354,-0.42458908239483273,-0.12000732333678028,0.11982626376905989,-0.26232014383079266,0.05556734763575605
1,640987,0,84288,0,63,8.81578947368421,5,10.056477173874613,0,41,6.157894736842105,3.5,7.697777017195518,0,52,2.175438596491228,0,6.353953892718377,0,57,8.67543859649123,5,9.709369334710082,-41,41,3.982456140350877,3,10.304983001884525,0,0,0,0,0,0,67,61,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,Product/service,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.19402548189081362,-0.22721127751447415,-0.40361641858938235,-0.42450961500564016,-0.11865152282307971,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
2,22899301,1,2454921,0,2526,958.181818181818,618,742.1141566414183,0,2526,686.6363636363636,565,694.4667375668736,0,1583,230.0909090909091,0,464.4810309357892,0,2526,933.818181818182,618,728.6817260308094,-1018,2526,456.54545454545456,431,913.6934400986682,618,618,0,618,618,7,110,185,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,112,Public figure,88.28571428571429,0,88.28571428571429,-0.35974063528838945,-0.20609164514055744,-0.2715433324645413,-0.36069494846622324,-0.194024953788338,-0.22717758615518024,-0.4035860159755228,-0.4232051947972232,-0.11750037135544793,0.22594927119281233,-0.26232014383079266,0.15984085220578215
2,237801,0,8606,15,100,53,44,26.65118598272344,1,100,33,18,36.57477663245923,0,47,15.85714285714286,12,17.859999771465134,13,100,52.142857142857146,42,27.30478017505659,-36,100,17.142857142857142,-9,49.249883455782545,32,32,0,32,32,1,0,13,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,Public figure,32,0,32,-0.3810576061583191,-0.2453584543199832,-0.2715433324645413,-0.38352059051634557,-0.19402562833198586,-0.22721127751447415,-0.4036369930712931,-0.43574177508727174,-0.12021076451733018,0.1320199326403461,-0.26232014383079266,0.0675485062708332
4,161455,0,5978,3,75,22.71428571428572,15,23.389339975505848,3,75,16.857142857142858,6,24.10944433458492,0,15,4.142857142857143,0,5.488392203513872,3,75,21.142857142857146,12,23.29579098358801,-10,75,12.714285714285715,5,26.26629717617119,22,17,5,20,12,28,20,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,Athlete,0.6071428571428571,0.17857142857142858,0.7142857142857143,-0.3836826972276109,-0.2534772418482092,-0.24720696768927466,-0.38703978095883385,-0.1940256855167815,-0.22721127751447415,-0.4036402782652012,-0.42763737860739814,-0.12224973435871096,-0.1531698987462136,-0.1767480054726576,-0.2066867259157264
4,3845329,0,94153,10,95,58,63.5,35.12121865767189,5,58,26,20.5,20.89258241577618,0,64,32,32,22.67156809750927,10,86,53.75,59.5,32.48364973336586,-33,28,-6,-9.5,25.836021365527625,95,31,64,86,-33,34,0,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,Athlete,0.9117647058823529,1.8823529411764706,2.5294117647058822,-0.37329285469997253,-0.24577062030182245,-0.21484520246544184,-0.3759727642791738,-0.19402521729631625,-0.22721127751447415,-0.4036154205547297,-0.43574177508727174,-0.12182487860287552,-0.13679027105365812,0.28902239075570696,-0.1397267795829699
4,2191816,1,138657,0,955,169.84615384615384,92,255.71674418081793,0,242,68.92307692307692,58,80.1886828179077,0,717,93.3076923076923,6,205.40143981795737,0,882,161.46153846153845,90,237.6379325407636,-479,242,-24.384615384615387,4,174.18184064209294,118,4,28,104,-24,63,139,48,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Athlete,0.06349206349206349,0.4444444444444444,1.6507936507936507,-0.3717311264890385,-0.27063450209873907,-0.225807428158094,-0.37450857534677445,-0.19402530031473014,-0.22717758615518024,-0.40361193016173824,-0.4225873213843337,-0.11889809038774571,-0.19213514497582723,-0.07080211957442152,-0.16627136488256222
4,429905,45,120472,0,1833,207.5054945054945,53,362.8380916318478,0,1833,139.6043956043956,38,266.5205135754147,0,1097,63.7032967032967,0,196.60774215387863,0,1833,198.98901098901095,53,343.18410445352987,-750,1833,75.9010989010989,22,298.58129950881863,7,7,0,7,7,8,177,3,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Athlete,0.875,0,0.875,-0.39136173313623496,-0.26433911485900713,-0.2715433324645413,-0.39455397398682235,-0.19402554088305046,-0.22702518120403062,-0.40361319785275607,-0.4219480753450368,-0.12152343864691462,-0.13862274946984854,-0.26232014383079266,-0.19837743792310336
4,1199903,0,191483,0,896,256,56,310.29591611162977,0,896,212.77777777777777,56,320.9156267715439,0,173,43.22222222222222,15,58.76653956835902,0,896,251.55555555555551,56,311.0330854538044,-57,896,169.55555555555554,-9,341.4632275992089,0,0,0,0,0,0,109,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,91,Athlete,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.19402538929385912,-0.22721127751447415,-0.40360901944338573,-0.4232292850959913,-0.12128962365209116,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
